94;1.59213;0.367502;-0.0103322
94;1.6006;0.454581;-0.162569
94;2.25402;0.19552;2.30033
94;2.15009;0.357311;2.41684
94;2.15108;0.482452;2.44768
94;2.14277;0.614502;2.47751
94;0.0272308;0.0251754;-0.0790866
94;0.971539;0.231001;0.231551
94;1.56373;0.29708;0.0382492
94;1.62064;0.254382;-0.0556138
94;1.64775;0.277442;-0.207404
94;2.24768;0.423744;0.188822
94;2.27141;-0.0217606;2.30131
94;2.29745;0.0868848;2.33354
94;2.31752;0.201028;2.36512
94;2.3309;0.32097;2.39598
frame ; y ; z ; x 
95;0.0402654;0.0224475;-0.0748827
95;0.958912;0.268889;0.230295
95;1.60903;0.308584;-0.0086874
95;1.63202;0.337339;-0.208911
95;2.24768;0.423744;0.188822
95;2.26554;0.085678;2.30113
95;2.28577;0.198274;2.33273
95;2.2994;0.316633;2.3636
95;2.30558;0.441114;2.39365
95;0.0346282;0.0278008;-0.0754958
95;1.59213;0.367502;-0.0103322
95;1.6006;0.454581;-0.162569
95;2.22463;0.505972;0.186587
95;2.25402;0.19552;2.30033
95;2.15009;0.357311;2.41684
95;2.15108;0.482452;2.44768
95;2.14277;0.614502;2.47751
95;0.0435344;0.0181011;-0.0745327
95;0.971539;0.231001;0.231551
95;1.62064;0.254382;-0.0556138
95;1.64775;0.277442;-0.207404
95;2.24768;0.423744;0.188822
95;2.27141;-0.0217606;2.30131
95;2.29745;0.0868848;2.33354
95;2.31752;0.201028;2.36512
95;2.3309;0.32097;2.39598
frame ; y ; z ; x 
96;0.0402654;0.0224475;-0.0748827
96;0.958912;0.268889;0.230295
96;1.60903;0.308584;-0.0086874
96;1.63202;0.337339;-0.208911
96;2.24768;0.423744;0.188822
96;2.26554;0.085678;2.30113
96;2.28577;0.198274;2.33273
96;2.2994;0.316633;2.3636
96;2.30558;0.441114;2.39365
96;0.0346282;0.0278008;-0.0754958
96;0.93452;0.310226;0.257892
96;1.59213;0.367502;-0.0103322
96;1.6006;0.454581;-0.162569
96;2.22463;0.505972;0.186587
96;2.25402;0.19552;2.30033
96;2.15009;0.357311;2.41684
96;2.15108;0.482452;2.44768
96;2.14277;0.614502;2.47751
96;0.0272308;0.0251754;-0.0790866
96;0.971539;0.231001;0.231551
96;1.62064;0.254382;-0.0556138
96;1.64775;0.277442;-0.207404
96;2.27141;-0.0217606;2.30131
96;2.29745;0.0868848;2.33354
96;2.31752;0.201028;2.36512
96;2.3309;0.32097;2.39598
frame ; y ; z ; x 
97;0.0402654;0.0224475;-0.0748827
97;0.958912;0.268889;0.230295
97;1.60903;0.308584;-0.0086874
97;1.63202;0.337339;-0.208911
97;2.26554;0.085678;2.30113
97;2.28577;0.198274;2.33273
97;2.2994;0.316633;2.3636
97;2.30558;0.441114;2.39365
97;0.0346282;0.0278008;-0.0754958
97;1.59213;0.367502;-0.0103322
97;1.6006;0.454581;-0.162569
97;2.22463;0.505972;0.186587
97;2.25402;0.19552;2.30033
97;2.15009;0.357311;2.41684
97;2.15108;0.482452;2.44768
97;2.14277;0.614502;2.47751
97;0.0435344;0.0181011;-0.0745327
97;0.971539;0.231001;0.231551
97;1.62064;0.254382;-0.0556138
97;1.64775;0.277442;-0.207404
97;2.27141;-0.0217606;2.30131
97;2.29745;0.0868848;2.33354
97;2.31752;0.201028;2.36512
97;2.3309;0.32097;2.39598
frame ; y ; z ; x 
98;0.0402654;0.0224475;-0.0748827
98;0.958912;0.268889;0.230295
98;1.60903;0.308584;-0.0086874
98;1.63202;0.337339;-0.208911
98;2.26554;0.085678;2.30113
98;2.28577;0.198274;2.33273
98;2.2994;0.316633;2.3636
98;2.30558;0.441114;2.39365
98;0.0346282;0.0278008;-0.0754958
98;0.93452;0.310226;0.257892
98;1.59213;0.367502;-0.0103322
98;1.6006;0.454581;-0.162569
98;2.22463;0.505972;0.186587
98;2.25402;0.19552;2.30033
98;2.15009;0.357311;2.41684
98;2.15108;0.482452;2.44768
98;2.14277;0.614502;2.47751
98;0.0435344;0.0181011;-0.0745327
98;0.971539;0.231001;0.231551
98;1.62064;0.254382;-0.0556138
98;1.64775;0.277442;-0.207404
98;2.24768;0.423744;0.188822
98;2.27141;-0.0217606;2.30131
98;2.29745;0.0868848;2.33354
98;2.31752;0.201028;2.36512
98;2.3309;0.32097;2.39598
frame ; y ; z ; x 
99;0.0402654;0.0224475;-0.0748827
99;0.958912;0.268889;0.230295
99;1.60903;0.308584;-0.0086874
99;1.63202;0.337339;-0.208911
99;2.24768;0.423744;0.188822
99;2.26554;0.085678;2.30113
99;2.28577;0.198274;2.33273
99;2.2994;0.316633;2.3636
99;2.30558;0.441114;2.39365
99;0.0346282;0.0278008;-0.0754958
99;0.93452;0.310226;0.257892
99;1.59213;0.367502;-0.0103322
99;1.6006;0.454581;-0.162569
99;2.22463;0.505972;0.186587
99;3.16701;0.366712;0.266445
99;2.25402;0.19552;2.30033
99;2.15009;0.357311;2.41684
99;2.15108;0.482452;2.44768
99;2.14277;0.614502;2.47751
99;0.0435344;0.0181011;-0.0745327
99;0.971539;0.231001;0.231551
99;1.62064;0.254382;-0.0556138
99;1.64775;0.277442;-0.207404
99;2.24768;0.423744;0.188822
99;2.27141;-0.0217606;2.30131
99;2.29745;0.0868848;2.33354
99;2.31752;0.201028;2.36512
99;2.3309;0.32097;2.39598
frame ; y ; z ; x 
100;0.0402654;0.0224475;-0.0748827
100;0.958912;0.268889;0.230295
100;1.60903;0.308584;-0.0086874
100;1.63202;0.337339;-0.208911
100;2.24768;0.423744;0.188822
100;2.26554;0.085678;2.30113
100;2.28577;0.198274;2.33273
100;2.2994;0.316633;2.3636
100;2.30558;0.441114;2.39365
100;0.0346282;0.0278008;-0.0754958
100;0.93452;0.310226;0.257892
100;1.59213;0.367502;-0.0103322
100;1.6006;0.454581;-0.162569
100;2.22463;0.505972;0.186587
100;2.25402;0.19552;2.30033
100;2.15009;0.357311;2.41684
100;2.15108;0.482452;2.44768
100;2.14277;0.614502;2.47751
100;0.0272308;0.0251754;-0.0790866
100;0.971539;0.231001;0.231551
100;1.62064;0.254382;-0.0556138
100;1.64775;0.277442;-0.207404
100;2.24768;0.423744;0.188822
100;2.27141;-0.0217606;2.30131
100;2.29745;0.0868848;2.33354
100;2.31752;0.201028;2.36512
100;2.3309;0.32097;2.39598
frame ; y ; z ; x 
101;0.0402654;0.0224475;-0.0748827
101;0.958912;0.268889;0.230295
101;1.60903;0.308584;-0.0086874
101;1.63202;0.337339;-0.208911
101;2.24768;0.423744;0.188822
101;2.26554;0.085678;2.30113
101;2.28577;0.198274;2.33273
101;2.2994;0.316633;2.3636
101;2.30558;0.441114;2.39365
101;0.0346282;0.0278008;-0.0754958
101;0.93452;0.310226;0.257892
101;1.59213;0.367502;-0.0103322
101;1.6006;0.454581;-0.162569
101;2.22463;0.505972;0.186587
101;2.25402;0.19552;2.30033
101;2.15009;0.357311;2.41684
101;2.15108;0.482452;2.44768
101;2.14277;0.614502;2.47751
101;0.0435344;0.0181011;-0.0745327
101;0.971539;0.231001;0.231551
101;1.62064;0.254382;-0.0556138
101;1.64775;0.277442;-0.207404
101;2.24768;0.423744;0.188822
101;2.27141;-0.0217606;2.30131
101;2.29745;0.0868848;2.33354
101;2.31752;0.201028;2.36512
101;2.3309;0.32097;2.39598
frame ; y ; z ; x 
102;0.0402654;0.0224475;-0.0748827
102;0.958912;0.268889;0.230295
102;1.60903;0.308584;-0.0086874
102;1.63202;0.337339;-0.208911
102;2.24768;0.423744;0.188822
102;2.26554;0.085678;2.30113
102;2.28577;0.198274;2.33273
102;2.2994;0.316633;2.3636
102;2.30558;0.441114;2.39365
102;0.0346282;0.0278008;-0.0754958
102;0.93452;0.310226;0.257892
102;1.59213;0.367502;-0.0103322
102;1.6006;0.454581;-0.162569
102;2.22463;0.505972;0.186587
102;2.25402;0.19552;2.30033
102;2.15009;0.357311;2.41684
102;2.15108;0.482452;2.44768
102;2.14277;0.614502;2.47751
102;0.0435344;0.0181011;-0.0745327
102;0.971539;0.231001;0.231551
102;1.62064;0.254382;-0.0556138
102;1.64775;0.277442;-0.207404
102;2.24768;0.423744;0.188822
102;2.27141;-0.0217606;2.30131
102;2.29745;0.0868848;2.33354
102;2.31752;0.201028;2.36512
